,0
1976,0.0
1977,0.0
1978,0.15
1979,0.0
1980,1.49
1981,1.58
1982,2.1
1983,6.4
1984,12.36
1985,3.92
1986,11.14
1987,7.44
1988,7.2
1989,11.44
1990,4.22
1991,4.82
1992,5.9
1993,6.36
1994,16.78
1995,15.96
1996,34.9
1997,60.24
1998,85.04
1999,60.58
2000,82.38
2001,103.45
2002,133.21
2003,121.54
2004,127.81
2005,119.89
2006,273.53
2007,195.71
2008,191.14
2009,275.14
2010,184.39
2011,112.64
2012,60.94
2013,82.77
2014,90.51
2015,82.4
2016,53.91
2017,0.0
2020,0.0
