,0
1976,0.0
1977,0.0
1978,2.53
1979,0.0
1980,15.12
1981,20.08
1982,7.58
1983,0.96
1984,62.2
1985,2.0
1986,7.78
1987,1.42
1988,1.02
1989,2.4
1990,0.0
1991,4.0
1992,0.58
1993,6.16
1994,16.6
1995,8.3
1996,13.82
1997,44.34
1998,19.6
1999,24.51
2000,13.62
2001,49.54
2002,97.92
2003,54.35
2004,94.44
2005,83.8
2006,78.84
2007,141.42
2008,118.52
2009,139.22
2010,156.35
2011,196.77
2012,143.74
2013,124.27
2014,131.01
2015,136.63
2016,87.67
2017,0.0
2020,0.0
