,0
0,Pitfall!
1,Frogger
2,Demon Attack
3,E.T.: The Extra Terrestrial
4,Ms. Pac-Man
5,River Raid
6,Donkey Kong
7,Centipede
8,Atlantis
9,Megamania
10,Cosmic Ark
11,Donkey Kong Junior
12,Spider-Man
13,Custer's Revenge
14,Alien
15,Air Raid
16,Berzerk
17,King Kong
18,Adventures of Tron
19,BurgerTime
20,Smurf: Rescue In Gargamel's Castle
21,Raiders of the Lost Ark
22,Grand Prix
23,Phoenix
24,Jawbreaker
25,Barnstorming
26,Mouse Trap
27,Laser Blast
28,Airlock
29,Dragonfire
30,Frogs And Flies
31,Fantastic Voyage
32,Carnival
33,Fireball
34,Astroblast
35,Fast Food
36,RealSports Football
37,Front Line
38,Dark Cavern
39,Deadly Duck
40,Reactor
41,Crazy Climber
42,RealSports Baseball
43,International Soccer
44,Armor Ambush
45,RealSports Volleyball
46,Custers Revenge
47,Smurf: Rescue In Gargamels Castle
