,0
0,Pokémon Yellow: Special Pikachu Edition
1,The Legend of Zelda: Ocarina of Time
2,Tekken 3
3,Crash Bandicoot 3: Warped
4,Metal Gear Solid
5,Resident Evil 2
6,Spyro the Dragon
7,Pokémon Trading Card Game
8,Banjo-Kazooie
9,Grand Theft Auto 2
10,WWF War Zone
11,Rugrats: Search For Reptar
12,Need for Speed III: Hot Pursuit
13,Colin McRae Rally
14,A Bug's Life
15,Mario Party
16,Medal of Honor
17,Tomb Raider: The Last Revelation
18,Sonic Adventure
19,Dino Crisis
20,WCW/nWo Revenge
21,Dragon Warrior Monsters
22,Cool Boarders 3
23,The Legend of Zelda: Link's Awakening DX
24,Star Wars: Rogue Squadron
25,Parasite Eve
26,Sim Theme Park
27,R4: Ridge Racer Type 4
28,1080°: TenEighty Snowboarding
29,Tetris DX
30,WCW Nitro
31,FIFA 2000
32,"Hey You, Pikachu!"
33,WWF Attitude
34,Madden NFL 2000
35,Madden NFL 99
36,Twisted Metal III
37,Toy Story 2: Buzz Lightyear to the Rescue!
38,WCW/NWO Thunder
39,Sled Storm
40,Yu-Gi-Oh! Duel Monsters
41,F-1 World Grand Prix
42,NFL GameDay 99
43,NASCAR 99
44,NBA Live 2000
45,NFL Blitz
46,Pac-Man World
47,Xenogears
48,Mortal Kombat 4
49,WCW vs the World
50,Duke Nukem: Time to Kill
51,A Collection of Activision Classic Games for the Atari 2600
52,Pocket Monsters Stadium
53,WWF War Zone
54,TOCA 2: Touring Cars
55,Devil Dice
56,Brian Lara Cricket
57,Wheel of Fortune
58,Road Rash 3D
59,Vigilante 8
60,WCW Mayhem
61,Kobe Bryant in NBA Courtside
62,Cool Boarders 4
63,Asteroids
64,Brave Fencer Musashi
65,South Park
66,Jampack Winter '98
67,F-Zero X
68,Star Ocean: The Second Story
69,BeatMania
70,NFL Blitz 2000
71,Ready 2 Rumble Boxing
72,NCAA Football 99
73,Simple 1500 Series Vol. 1: The Mahjong
74,NFL Blitz
75,Monster Rancher 2
76,Jeremy McGrath Supercross 98
77,Street Fighter Alpha 3
78,Pong: The Next Level
79,Oddworld: Abe's Exoddus
80,NASCAR 99
81,Glover
82,Madden NFL 99
83,NHL 2000
84,MLB 99
85,The Game of Life
86,MediEvil
87,The Next Tetris
88,World Soccer Jikkyou Winning Eleven 3: World Cup France '98
89,Major League Baseball Featuring Ken Griffey Jr
90,NBA ShootOut 98
91,ISS Pro Evolution
92,Mortal Kombat 4
93,SD Gundam G Generation
94,Fear Effect
95,South Park
96,Command & Conquer: Red Alert Retaliation
97,Chocobo's Dungeon 2
98,NFL Xtreme
99,Bushido Blade 2
100,Suikoden II
101,Street Sk8er
102,Spice World
103,Tiger Woods PGA Tour 2000
104,Legend of Legaia
105,Um Jammer Lammy
106,Animaniacs Ten Pin Alley
107,Centipede
108,Cruis'n World
109,A Bug's Life
110,Tomb Raider III: Adventures of Lara Croft
111,NFL Quarterback Club 99
112,Small Soldiers
113,BeatMania Append 3rdMix
114,Xena: Warrior Princess
115,CyberTiger
116,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban
117,International Superstar Soccer '98
118,World Cup 98
119,Tales of Phantasia
120,Gex: Enter the Gecko
121,Championship Motocross featuring Ricky Carmichael
122,Lunar: Silver Star Story Complete
123,Super Robot Taisen F Kanketsuhen
124,FIFA 99
125,Bust A Groove
126,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare"
127,Rival Schools: United By Fate
128,Wu-Tang: Shaolin Style
129,All-Star Baseball 99
130,NBA Live 99
131,Bomberman Hero
132,Quest 64
133,NCAA Gamebreaker 99
134,World Stadium 2
135,Apocalypse
136,Rampage World Tour
137,WipEout 64
138,Rascal
139,JGTC: All-Japan Grand Touring Car Championship
140,Rush 2: Extreme Racing USA
141,International Superstar Soccer Pro '98
142,Tomb Raider: The Last Revelation
143,Quake II
144,'98 Koshien
145,NHL 99
146,Thrasher Presents: Skate and Destroy
147,Extreme-G: XG2
148,Wario Land II (GBC)
149,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi
150,Ninja: Shadow of Darkness
151,Rogue Trip: Vacation 2012
152,Yarudora Series Vol.1: Double Cast
153,Virtua Fighter 3tb
154,South Park Rally
155,Blasto
156,Rally Cross 2
157,Kurushi Final: Mental Blocks
158,Off Road Challenge
159,Backstreet Billiards
160,Tiny Tank
161,Bomberman World
162,Deathtrap Dungeon
163,BattleTanx
164,Pitfall 3D: Beyond the Jungle
165,NHL Breakaway 98
166,Heart of Darkness
167,Sesame Street: Elmo's Letter Adventure
168,Tiny Toon Adventures: The Great Beanstalk
169,Goemon's Great Adventure
170,Vigilante 8
171,Demolition Racer
172,NHL FaceOff 2000
173,South Park: Chef's Luv Shack
174,Ehrgeiz
175,Kagero: Deception II
176,Viz
