Name
Super Mario Bros.
Kung Fu
Soccer
Ice Climber
Gyromite
Tag Team Match M.U.S.C.L.E.
Bomberman
1942
Balloon Fight
Wrecking Crew
Ghostbusters
Dig Dug
Alter Ego
Strongest Tokyo University Shogi DS
