,0
0,Pokemon Gold/Pokemon Silver
1,Gran Turismo 2
2,Final Fantasy VIII
3,Driver
4,Super Smash Bros.
5,Pokemon Stadium
6,Pokemon Pinball
7,Donkey Kong 64
8,Super Mario Bros.
9,Tony Hawk's Pro Skater
10,Warzone 2100
11,Crash Team Racing
12,Resident Evil 3: Nemesis
13,Pokemon Snap
14,Spyro 2: Ripto's Rage!
15,007: Tomorrow Never Dies
16,Star Wars Episode I Racer
17,Syphon Filter
18,Mario Party 2
19,Need For Speed: High Stakes
20,Who wants to be a millionaire
21,Yu-Gi-Oh! Forbidden Memories
22,Hot Shots Golf 2
23,The Legend of Dragoon
24,Chrono Cross
25,NFL GameDay 2000
26,Star Wars Episode I: The Phantom Menace
27,Jampack Winter '99
28,Tom Clancy's Rainbow Six
29,Ape Escape
30,Silent Hill
31,NASCAR 2000
32,Command & Conquer: Tiberian Sun
33,WWF WrestleMania 2000
34,Mario Golf
35,Namco Museum 64
36,Frogger 2: Swampy's Revenge
37,Triple Play 2000
38,Knockout Kings 2000
39,Dance Dance Revolution (Japan)
40,Rugrats Studio Tour
41,Digimon World
42,Army Men 3D
43,Twisted Metal 4
44,Game & Watch Gallery 3
45,Star Wars Episode 1: Jedi Power Battles
46,NFL 2K
47,The Dukes of Hazzard: Racing for Home
48,Metal Gear Solid VR Missions
49,Shenmue
50,Jet Force Gemini
51,Derby Stallion 99
52,Legend of Mana
53,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories
54,Doko Demo Issyo
55,Championship Manager 99/00
56,Hot Wheels Turbo Racing
57,Worms Armageddon
58,Jampack Summer '99
59,Dance Dance Revolution 2nd ReMIX
60,NCAA Football 2000
61,SaGa Frontier 2
62,MLB 2000
63,Toy Story 2: Buzz Lightyear to the Rescue!
64,SnoCross Championship Racing
65,Knockout Kings 2000
66,3Xtreme
67,Army Men: Air Attack
68,Q*bert
69,Ace Combat 3: Electrosphere
70,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban
71,Valkyrie Profile
72,Army Men: Sarge's Heroes
73,Final Fantasy Anthology
74,WCW Mayhem
75,Marvel vs. Capcom: Clash of Super Heroes
76,Need for Speed: Porsche Unleashed
77,Dragon Warrior I&II
78,Jet Moto 3
79,Croc 2
80,Test Drive 6
81,LEGO Racers
82,WWF Attitude
83,Wild ARMs 2
84,Pro Pinball: Big Race USA
85,World of Dragon Warrior - Torneko: The Last Hope
86,Tom Clancy's Rainbow Six
87,Castlevania
88,Rayman 2: The Great Escape
89,Sim Theme Park
90,Beetle Adventure Racing!
91,Bass Landing
92,Tomb Raider Chronicles
93,Madden NFL 2000
94,Ready 2 Rumble Boxing
95,Barbie: Race & Ride
96,Parasite Eve II
97,NFL Blitz 2000
98,Army Men: Sarge's Heroes
99,Resident Evil 2
100,NBA Showtime: NBA on NBC
101,Fighting Force 2
102,SD Gundam G Generation Zero
103,Medarot 2: Kabuto / Kuwagata Version
104,Gauntlet Legends
105,Pachi-Slot Aruze Oukoku 2
106,Gex 3: Deep Cover Gecko
107,NASCAR 2000
108,Seaman
109,The Grinch
110,Mission: Impossible
111,Front Mission 3
112,Omega Boost
113,Rugrats: Scavenger Hunt
114,International Superstar Soccer 2000 (All region sales)
115,Die Hard Trilogy 2: Viva Las Vegas
116,Yu-Gi-Oh! Forbidden Memories (JP sales)
117,ECW Hardcore Revolution
118,Harvest Moon 64
119,Vigilante 8: 2nd Offense
120,NFL Xtreme 2
121,Momotarou Dentetsu V
122,MTV Music Generator
123,Razor Freestyle Scooter
124,Hydro Thunder
125,Bloody Roar II
126,Missile Command
127,Final Fantasy Collection
128,NBA Live 2000
129,Chocobo Racing
130,The X Files
131,Arc the Lad III
132,Jikkyou Powerful Pro Yakyuu 6
133,Sega Rally Championship 2
134,Grudge Warriors
135,Ogre Battle 64: Person of Lordly Caliber
136,Superman: The New Superman Adventures
137,Densha De Go! 2
138,NBA ShootOut 2000
139,NCAA GameBreaker 2000
140,NFL Quarterback Club 2000
141,RR64: Ridge Racer 64
142,Bugs Bunny: Lost in Time
143,Road Rash: Jailbreak
144,You Don't Know Jack
145,All-Star Baseball 2000
146,BattleTanx: Global Assault
147,Tokimeki Memorial 2
148,MediEvil II
149,NCAA Final Four 2000
150,Turok: Rage Wars
151,Bottom of the 9th
152,LEGO Racers
153,J-League Pro Soccer Club o Tsukurou!
154,Lunar 2: Eternal Blue Complete
155,SoulCalibur
156,WipEout 3
157,BeatMania Append GottaMix
158,World Stadium 3
159,Championship Bass
160,Harvest Moon: Back to Nature
