,0
0,Grand Theft Auto: Vice City
1,Pokemon Ruby/Pokemon Sapphire
2,Medal of Honor: Frontline
3,Kingdom Hearts
4,Super Mario Sunshine
5,The Lord of the Rings: The Two Towers
6,The Legend of Zelda: The Wind Waker
7,Spider-Man: The Movie
8,Madden NFL 2003
9,The Sims: Unleashed
10,Tony Hawk's Pro Skater 4
11,SOCOM: U.S. Navy SEALs
12,The Getaway
13,Tekken 4
14,FIFA Soccer 2003
15,James Bond 007: Nightfire
16,Ratchet & Clank
17,Dragon Ball Z: Budokai
18,The Sims: Vacation
19,Tom Clancy's Splinter Cell
20,WWE SmackDown! Shut Your Mouth
21,World Soccer Winning Eleven 6 International
22,Hitman 2: Silent Assassin
23,Super Mario World 2: Yoshi's Island
24,The Elder Scrolls III: Morrowind
25,WWE SmackDown! vs. Raw
26,Metroid Prime
27,The Legend of Zelda: A Link to the Past
28,Harry Potter and the Chamber of Secrets
29,Mortal Kombat: Deadly Alliance
30,Mario Party 4
31,Kirby: Nightmare in Dream Land
32,Onimusha 2: Samurai's Destiny
33,ATV Offroad Fury 2
34,Need for Speed: Hot Pursuit 2
35,Project Gotham Racing (JP weekly sales)
36,Scooby-Doo! Night of 100 Frights
37,Tetris Worlds
38,Spec Ops: Airborne Commando
39,Sonic Mega Collection
40,Harry Potter and the Chamber of Secrets
41,Harry Potter and the Chamber of Secrets
42,Spyro: Enter the Dragonfly
43,Tom Clancy's Ghost Recon
44,Star Fox Adventures
45,Virtua Fighter 4
46,Sonic Advance 2
47,Tom Clancy's Ghost Recon
48,State of Emergency
49,Xenosaga Episode I: Der Wille zur Macht
50,Crash Bandicoot: The Huge Adventure
51,Dragon Ball Z: The Legacy of Goku
52,Metroid Fusion
53,NBA Live 2003
54,Tiger Woods PGA Tour 2003
55,Spyro 2: Season of Flame
56,Conflict: Desert Storm
57,Stuntman
58,The Simpsons Skateboarding
59,Super Monkey Ball 2
60,Pac-Man World 2
61,Red Faction II
62,Medal of Honor: Frontline
63,NCAA Football 2003
64,Cabela's Big Game Hunter
65,Resident Evil (Remake)
66,Spider-Man: The Movie
67,Colin McRae Rally 3
68,Dead to Rights
69,Test Drive
70,Spider-Man: The Movie
71,NFL 2K3
72,IHRA Drag Racing 2
73,Turok: Evolution
74,Yu-Gi-Oh! The Sacred Cards
75,Mega Man Battle Network 3 Blue / White Version
76,Resident Evil Zero
77,.hack//Infection Part 1
78,RollerCoaster Tycoon 2
79,Crash Bandicoot: The Wrath of Cortex
80,Golden Sun: The Lost Age
81,NBA 2K2
82,Sly Cooper and the Thievius Raccoonus
83,The Lord of the Rings: The Fellowship of the Ring
84,SpongeBob SquarePants: Revenge of the Flying Dutchman
85,Spider-Man: The Movie
86,Ty the Tasmanian Tiger
87,Yu-Gi-Oh! The Sacred Cards (American and Others sales)
88,MechAssault
89,Star Wars: Bounty Hunter
90,SpongeBob SquarePants: Revenge of the Flying Dutchman
91,Fisherman's Bass Club
92,Disney's Lilo & Stitch
93,Freekstyle
94,Seek and Destroy
95,NBA 2K3
96,Dynasty Warriors 3: Xtreme Legends
97,Dark Cloud 2
98,Shinobi
99,Mortal Kombat: Deadly Alliance
100,NHL 2003
101,Tony Hawk's Pro Skater 4
102,Street Hoops
103,Knockout Kings 2002
104,Tiger Woods PGA Tour 2002
105,James Bond 007: Agent Under Fire
106,Conflict: Desert Storm
107,Triple Play 2002
108,Rocky
109,Burnout 2: Point of Impact
110,Big Mutha Truckers
111,James Bond 007: Nightfire
112,Need for Speed: Hot Pursuit 2
113,Rocket Power: Beach Bandits
114,Need for Speed: Hot Pursuit 2
115,Tales of Destiny 2
116,Secret Agent Barbie: Royal Jewels Mission
117,James Bond 007: Nightfire
118,Star Wars Episode II: Attack of the Clones
119,All-Star Baseball 2003
120,Unlimited Saga
