,0
0,Donkey Kong Country 2: Diddy's Kong Quest
1,Warcraft II: Tides of Darkness
2,Super Mario World 2: Yoshi's Island
3,Namco Museum Vol.1
4,Tekken
5,Killer Instinct
6,Dragon Quest VI: Maboroshi no Daichi
7,Rayman
8,Kirby's Dream Land 2
9,Chrono Trigger
10,Virtua Fighter 2
11,Air Combat
12,Twisted Metal
13,Romancing SaGa 3
14,Road Rash
15,Sega Rally Championship
16,Derby Stallion III
17,Arc the Lad
18,Ridge Racer Revolution
19,NBA Jam Tournament Edition
20,Road & Track Presents: The Need for Speed
21,Destruction Derby
22,Seiken Densetsu 3
23,Gex
24,NFL GameDay
25,Street Fighter Alpha: Warriors' Dreams
26,Tactics Ogre: Let Us Cling Together
27,Battle Arena Toshinden 2
28,Virtua Cop
29,Mario's Picross
30,Suikoden
31,Front Mission
32,Tokimeki Memorial: Forever with You
33,Beyond The Beyond
34,Mortal Kombat 3
35,Bases Loaded '96: Double Header
36,SimCity 2000
37,Super Puyo Puyo 2
38,WipEout
39,Super Momotarou Dentetsu DX
40,Warhawk
41,J-League Excite Stage '95
42,Persona
43,Mobile Suit Gundam
44,Super Famista 4
45,Cyber Troopers Virtual-On
46,Mobile Suit Gundam
47,Mario no Super Picross
48,Fighting Vipers
49,Mystery Dungeon: Shiren the Wanderer
50,Tales of Phantasia
51,Shin Megami Tensei: Devil Summoner
52,Dai-4-Ji Super Robot Taisen
53,Panzer Dragoon
54,Boxer's Road
55,Mega Man X3
56,Iron Storm
57,Night Warriors: Darkstalkers' Revenge
58,Shin Nippon Pro Wrestling: Toukon Retsuden
59,Kirby's Block Ball
60,Extreme Pinball
61,Street Fighter Alpha 2
62,NBA ShootOut
63,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu
64,Panzer Dragoon II Zwei
65,Gameboy Gallery
66,Jumping Flash!
67,Blazing Heroes
68,Winning Post 2
69,Far East of Eden Zero
70,Guardian Heroes
71,Super Fire ProWrestling X
72,The King of Fighters '95
73,Mega Man 7
74,NBA In The Zone
75,Nichibutsu Arcade Classics
76,Jikkyou Powerful Pro Yakyuu 2
77,Final Doom
78,Super Nazo Puyo: Ruruu no Ruu
79,NBA Jam Tournament Edition
80,Panzer General
81,Namco Tennis Smash Court
82,PGA Tour 96
83,Virtua Fighter Kids
84,The Raiden Project
85,Kanzen Chuuki Pro Yakyuu Greatest Nine
86,Dragon Ball Z Hyper Dimension
87,X-Men: Children of the Atom
88,The King of Fighters '95
89,SD Gundam GNext
90,Bust-A-Move 2 Arcade Edition
91,GunGriffon
92,College Slam
