,0
0,Super Mario All-Stars
1,Star Fox
2,
3,Super Street Fighter II
4,Mortal Kombat II
5,Secret of Mana
6,Disney's Aladdin
7,Kirby's Adventure
8,Super Puyo Puyo
9,Sonic CD
10,Dragon Ball Z
11,Dragon Ball Z: La Legende Saien
12,Romancing SaGa 2
13,Mega Man X
14,Dragon Quest I & II
15,Final Fight 2
16,Tetris 2
17,Capcom's Soccer Shootout
18,Torneko no Daibouken: Fushigi no Dungeon
19,Dragon Ball Z: Ultime Menace
20,J-League Soccer: Prime Goal
21,Nobunaga no Yabou: Haouden
22,Mega Man X2
23,Virtual Soccer
24,Winning Post
25,Mega Man 6
26,Mario & Wario
27,Crayon Shin-Chan: Arashi o Yobu Enji
28,Fatal Fury 2
29,Yuu Yuu Hakusho
30,Jurassic Park
31,Stunt Race FX
32,Shin Momotarou Densetsu
33,Ganbare Goemon 2: Kiteretsu Shougun Magginesu
34,Bishoujo Senshi Sailormoon R
35,Sailor Moon
36,Jissen Pachi-Slot Hisshouhou
37,Shining Force II
38,Thoroughbred Breeder
39,Mega Man Soccer
40,Super Power League
41,Super Street Fighter II
42,The King of Fighters '94 (CD)
43,Illusion of Gaia
44,Harukanaru Augusta 2: Masters
45,Classic Road
46,Ranma 1/2: Akanekodan Teki Hihou
47,Lethal Enforcers
48,Ecco: The Tides of Time
49,Street Fighter II': Special Champion Edition (JP weekly sales)
50,Samurai Shodown
51,Ninja Warriors
52,Streets of Rage 3
53,Super Mahjong 2: Honkaku 4Jin Uchi
54,Pop'n TwinBee: Rainbow Bell Adventure
55,Doraemon 2: Nobita no Toizurando Daibouken
56,Dynamite Headdy
57,Pachinko Wars II
58,Keiba Eight Special
59,Beyond Oasis
60,
61,Rock N' Roll Racing
62,The King of Fighters 94 (CD)
63,Rock N Roll Racing
64,Popn TwinBee: Rainbow Bell Adventure
65,Kirbys Adventure
66,Capcoms Soccer Shootout
67,Street Fighter II: Special Champion Edition (JP weekly sales)
