,0
0,Pokemon Red/Pokemon Blue
1,Super Mario 64
2,Mario Kart 64
3,Crash Bandicoot
4,Tekken 2
5,Microsoft Flight Simulator
6,Resident Evil
7,Tomb Raider
8,Namco Museum Vol.3
9,Resident Evil Director's Cut
10,Donkey Kong Country 3: Dixie Kong's Double Trouble!
11,Wave Race 64
12,Command & Conquer: Red Alert
13,Mortal Kombat Trilogy
14,Star Wars: Shadows of the Empire
15,Twisted Metal 2
16,Tetris Plus
17,Donkey Kong Land II
18,Super Mario RPG: Legend of the Seven Stars
19,PaRappa The Rapper
20,Jet Moto
21,Cruis'n USA
22,Diablo
23,Soul Edge
24,Die Hard Trilogy
25,NASCAR 98
26,Tamagotchi
27,Kirby Super Star
28,2Xtreme
29,Dragon Quest III: Soshite Densetsu e...
30,Madden NFL 97
31,TNN Motor Sports Hardcore 4x4
32,Reel Fishing
33,SimCity 2000
34,Soviet Strike
35,Rage Racer
36,Destruction Derby 2
37,Pilotwings 64
38,Arc the Lad II
39,Derby Stallion 96
40,Mega Man X4
41,Tomb Raider
42,NBA Live 97
43,Mortal Kombat Trilogy
44,Wild ARMs
45,Midway Presents Arcade's Greatest Hits: The Atari Collection 1
46,Space Jam
47,Tobal No.1
48,Mini-Yonku Shining Scorpion: Let's & Go!!
49,Mega Man 8 Anniversary Collector's Edition
50,Star Wars: Rebel Assault II - The Hidden Empire
51,NFL GameDay '97
52,Street Fighter Alpha 2
53,Casper
54,Killer Instinct Gold
55,Andretti Racing
56,Formula 1
57,Area 51
58,Contra: Legacy of War
59,WWF in Your House
60,Fighters MEGAMiX
61,Bahamut Lagoon
62,Fire Emblem: Seisen no Keifu
63,Shin Super Robot Taisen
64,Sakura Wars
65,Star Wars: Dark Forces
66,Top Gun: Fire at Will!
67,Clock Tower
68,Jampack Vol. 2
69,Wayne Gretzky's 3D Hockey
70,International Track & Field
71,Dai-4-Ji Super Robot Taisen S
72,Super Famista 5
73,PoPoLoCrois Monogatari
74,Alien Trilogy
75,NHL 97
76,NHL FaceOff '97
77,Jikkyou Powerful Pro Yakyuu 3
78,Vandal Hearts
79,World Stadium EX
80,Blood Omen: Legacy of Kain
81,Super Bomberman 4
82,Neon Genesis Evangelion
83,NiGHTS into dreams...
84,Cool Boarders
85,E0: Enemy Zero
86,NASCAR Racing
87,Pro Pinball
88,Command & Conquer
89,Triple Play 97
90,Mobile Suit Gundam version 2.0
91,Tokimeki Memorial: Forever with You
92,Nonomura Byoin no Hitobito
93,Picross 2
94,Street Fighter Alpha: Warriors' Dreams
95,Fade to Black
96,Tokyo Highway Battle
97,NBA Live 96
98,OverBlood
99,Momotarou Dentetsu Happy
100,Alone in the Dark: One-Eyed Jack's Revenge
101,RPG Tsukuru 2
102,Virtua Cop 2
103,Dragon Force
104,Star Gladiator Episode: I Final Crusade
105,J-League Victory Goal '96
106,DX Game of Life
107,MLB Pennant Race
108,Namco Museum Vol.2
109,PGA Tour 97
110,Mobile Suit Gundam Side Story I: Senritsu no Blue
111,Shin Nippon Pro Wrestling: Toukon Retsuden 2
112,Gunship
113,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu
114,Battle Arena Toshinden 3
115,King's Field II
116,NCAA Gamebreaker
117,Nightmare Creatures
118,J-League Pro Soccer Club wo Tsukurou!
119,Doukyuusei if
120,WipEout XL
121,Penny Racers
122,Project Overkill
123,Jumping Flash! 2
124,Gallop Racer (JP)
125,Front Mission: Gun Hazard
126,Lunar: Silver Star Story
127,Perfect Weapon
128,Star Ocean
129,Tetris Attack
130,NFL Quarterback Club 97
131,Chou-Kuukan Night Pro Yakyuu King(higher JP sales)
132,NBA Jam Extreme
133,Pandemonium!
134,NOëL: NOT DiGITAL
135,Bastard!! Utsuro Naru Kamigami no Utsuwa
136,The King of Fighters '96
137,Langrisser III
138,Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono
139,Ogre Battle Saga Episode Five: The March of the Black Queen
140,Snowboard Kids
141,Treasure Hunter G
142,Namco Museum Vol.4
143,Dragon Ball Z: Idainaru Dragon Ball Densetsu
144,Parlor! Mini 4
145,J-League Excite Stage '96
146,Jikkyou J-League Perfect Striker
147,Descent
148,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban
149,Allied General
150,Hexen
151,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales)
152,Warhammer: Shadow of the Horned Rat
153,Bubsy 3D
154,Jampack Vol. 1
155,Time Commando
156,The King of Fighters '95
157,Bomberman B-Daman
158,Reloaded
159,VR Golf '97
160,Tokimeki Memorial: Private Collection
161,Nobunaga no Yabou: Tenshoki
162,Street Fighter Alpha 2
163,Wonder Project J2: Koruro no Mori no Josette
164,FIFA Soccer 97
165,Psychic Force
166,Street Racer
167,The Incredible Hulk: The Pantheon Saga
168,Wing Commander III: Heart of the Tiger
169,Namco Museum Vol.5
170,Saturn Bomberman
171,Rudra no Hihou
172,Blazing Dragons
173,Iron & Blood
