,0
0,Call of Duty: Black Ops II
1,Call of Duty: Black Ops II
2,New Super Mario Bros. 2
3,Halo 4
4,Animal Crossing: New Leaf
5,FIFA Soccer 13
6,Pokemon Black 2/Pokemon White 2
7,Just Dance 4
8,Assassin's Creed III
9,Assassin's Creed III
10,New Super Mario Bros. U
11,FIFA Soccer 13
12,Diablo III
13,Nintendo Land
14,Far Cry 3
15,Mario Party 9
16,Resident Evil 6
17,Borderlands 2
18,Mass Effect 3
19,Far Cry 3
20,NBA 2K13
21,Madden NFL 13
22,Need for Speed: Most Wanted
23,Madden NFL 13
24,Skylanders Giants
25,NBA 2K13
26,Guild Wars 2
27,Paper Mario: Sticker Star
28,Borderlands 2
29,Hitman: Absolution
30,Fire Emblem: Awakening
31,Forza Horizon
32,Resident Evil 6
33,Max Payne 3
34,World of Warcraft: Mists of Pandaria
35,Kinect Star Wars
36,Dragon's Dogma
37,Hitman: Absolution
38,Dishonored
39,LEGO Batman 2: DC Super Heroes
40,Max Payne 3
41,Kingdom Hearts 3D: Dream Drop Distance
42,Need for Speed: Most Wanted
43,Pro Evolution Soccer 2013
44,Dishonored
45,Call of Duty: Black Ops II
46,Call of Duty Black Ops: Declassified
47,Tom Clancy's Ghost Recon: Future Soldier
48,Mass Effect 3
49,Medal of Honor: Warfighter
50,LEGO Batman 2: DC Super Heroes
51,Bravely Default: Flying Fairy
52,WWE '13
53,Assassin's Creed III: Liberation
54,Skylanders Giants
55,Kid Icarus: Uprising
56,Pokemon Mystery Dungeon: Gates to Infinity
57,WWE '13
58,LittleBigPlanet PS Vita
59,FIFA Street
60,LEGO The Lord of the Rings
61,LEGO Batman 2: DC Super Heroes
62,Mario & Sonic at the London 2012 Olympic Games
63,Just Dance 4
64,One Piece: Pirate Warriors
65,Resident Evil: Operation Raccoon City
66,Football Manager 2013
67,Medal of Honor: Warfighter
68,Fantasy Life
69,Persona 4: Golden
70,NCAA Football 13
71,Skylanders Giants
72,LEGO The Lord of the Rings
73,Sleeping Dogs
74,F1 2012
75,UFC Undisputed 3
76,Pokemon Conquest
77,Need for Speed: Most Wanted
78,ZombiU
79,UFC Undisputed 3
80,Mass Effect 3
81,Far Cry 3
