,0
0,Grand Theft Auto: San Andreas
1,Gran Turismo 4
2,Pokemon FireRed/Pokemon LeafGreen
3,Super Mario 64
4,Halo 2
5,Need for Speed Underground 2
6,Pokémon Emerald Version
7,World of Warcraft
8,Dragon Quest VIII: Journey of the Cursed King
9,Madden NFL 2005
10,Metal Gear Solid 3: Snake Eater
11,World Soccer Winning Eleven 8 International
12,FIFA Soccer 2005
13,Star Wars: Battlefront
14,Spider-Man 2
15,Sonic Mega Collection Plus
16,Call of Duty: Finest Hour
17,Burnout 3: Takedown
18,Fable
19,ESPN NFL 2K5
20,NBA Live 2005
21,Ratchet & Clank: Up Your Arsenal
22,Half-Life 2
23,The Incredibles
24,Tony Hawk's Underground 2
25,James Bond 007: Everything or Nothing
26,WarioWare Touched!
27,Need for Speed Underground 2
28,Paper Mario: The Thousand-Year Door
29,Dance Dance Revolution Extreme
30,The Incredibles
31,Hot Shots Golf: Open Tee
32,Dragon Ball Z: Budokai 3
33,X-Men Legends
34,MX Unleashed
35,Mortal Kombat: Deception
36,Shrek 2
37,SingStar
38,Jak 3
39,Kingdom Hearts: Chain of Memories
40,Sly 2: Band of Thieves
41,The Getaway: Black Monday
42,The SpongeBob SquarePants Movie
43,Def Jam: Fight for NY
44,The Urbz: Sims in the City
45,Star Wars: Battlefront
46,2 Games in 1: Disney Princess & The Lion King
47,Madden NFL 2005
48,Ace Combat 5: The Unsung War
49,NBA Ballers
50,Mario Party 6
51,Dragon Quest V: Tenkuu no Hanayome
52,Kirby & the Amazing Mirror
53,Prince of Persia: Warrior Within
54,ESPN NFL 2K5
55,NCAA Football 2005
56,NFL Street 2
57,ESPN NBA 2K5
58,Fight Night 2004
59,Tom Clancy's Splinter Cell: Pandora Tomorrow
60,The SpongeBob SquarePants Movie
61,Onimusha 3: Demon Siege
62,Red Dead Revolver
63,Tiger Woods PGA Tour 2005
64,Classic NES Series: Super Mario Bros.
65,The Legend of Zelda: The Minish Cap
66,NFL Street
67,NASCAR 2005: Chase for the Cup
68,Ridge Racer
69,Sonic Advance 3
70,Star Wars Knights of the Old Republic II: The Sith Lords
71,Tom Clancy's Ghost Recon 2
72,Samurai Warriors
73,SingStar Party
74,Donkey Kong Jungle Beat
75,MVP Baseball 2004
