,0
0,Pokémon Crystal Version
1,Final Fantasy IX
2,Driver 2
3,Tony Hawk's Pro Skater 2
4,Dragon Quest VII: Warriors of Eden
5,Tekken Tag Tournament
6,Spyro: Year of the Dragon
7,WWF SmackDown!
8,Rugrats in Paris: The Movie
9,Crash Bash
10,The Legend of Zelda: Majora's Mask
11,WWF SmackDown! 2: Know Your Role
12,Spider-Man
13,The Sims: Livin Large
14,Pokémon Stadium 2
15,Midnight Club: Street Racing
16,Perfect Dark
17,Mario Tennis
18,Wario Land 3
19,Donkey Kong Country
20,Yu-Gi-Oh: Duel Monsters 4
21,Syphon Filter 2
22,Tony Hawk's Pro Skater
23,Mario Party 3
24,Crazy Taxi
25,Kirby 64: The Crystal Shards
26,Madden NFL 2001
27,SSX
28,Jampack Summer 2K
29,Smuggler's Run
30,007: The World is not Enough
31,Dark Cloud
32,Tokyo Xtreme Racer Zero
33,Madden NFL 2001
34,WWF No Mercy
35,Banjo-Tooie
36,Paper Mario
37,Command & Conquer: Red Alert 2
38,Tony Hawk's Pro Skater
39,Triple Play 2001
40,NBA Live 2001
41,Ridge Racer V
42,Kirby Tilt 'n' Tumble
43,Dino Crisis 2
44,Mario Tennis
45,Action Bass
46,Resident Evil - Code: Veronica
47,NFL 2K1
48,Dave Mirra Freestyle BMX
49,ATV: Quad Power Racing
50,Dead or Alive 2
51,Excitebike 64
52,NFL GameDay 2001
53,Jampack Winter 2000
54,NFL Fever 2002
55,The Bouncer
56,Medal of Honor: Underground
57,NHL 2001
58,Kessen
59,007: The World is not Enough
60,Colin McRae Rally 2.0
61,MLB 2001
62,Vagrant Story
63,Street Fighter EX3
64,Dynasty Warriors 2
65,FIFA Soccer World Championship
66,Yu-Gi-Oh! Dark Duel Stories
67,Dragon Warrior III
68,Ready 2 Rumble Boxing: Round 2
69,Tales of Destiny II
70,NASCAR 2001
71,Who wants to be a millionaire
72,Super Robot Taisen α
73,Armored Core 2
74,Caesars Palace 2000: Millennium Gold Edition
75,Mega Man X5
76,Resident Evil: Survivor
77,Jeremy McGrath Supercross 2000
78,NASCAR 2001
79,NCAA Football 2001
80,Mobile Suit Gundam: Journey to Jaburo
81,Jikkyou World Soccer 2000 Final Edition
82,Mary-Kate and Ashley: Magical Mystery Mall
83,Madden NFL 2001
84,NHL 2001
85,Buzz Lightyear of Star Command
86,Disney's 102 Dalmatians: Puppies to the Rescue
87,Mickey's Speedway USA
88,NFL Blitz 2001
89,Sammy Sosa High Heat Baseball 2001
90,Unreal Tournament
91,Digimon World 2
92,Tenchu 2: Birth of the Stealth Assassins
93,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu
94,Bob the Builder: Can We Fix It?
95,Breath of Fire IV
