,0
0,Grand Theft Auto V
1,Grand Theft Auto V
2,Pokemon X/Pokemon Y
3,Call of Duty: Ghosts
4,Call of Duty: Ghosts
5,Minecraft
6,FIFA 14
7,The Last of Us
8,Tomodachi Life
9,Luigi's Mansion: Dark Moon
10,Super Mario 3D World
11,FIFA 14
12,Call of Duty: Ghosts
13,Assassin's Creed IV: Black Flag
14,Battlefield 4
15,Just Dance 2014
16,Battlefield 4
17,Battlefield 4
18,Monster Hunter 4
19,Assassin's Creed IV: Black Flag
20,Gran Turismo 6
21,The Legend of Zelda: A Link Between Worlds
22,FIFA 14
23,Call of Duty: Ghosts
24,Assassin's Creed IV: Black Flag
25,Killzone: Shadow Fall
26,NBA 2K14
27,Tomb Raider (2013)
28,Batman: Arkham Origins
29,God of War: Ascension
30,New Super Luigi U
31,Assassin's Creed IV: Black Flag
32,Madden NFL 25
33,LEGO Marvel Super Heroes
34,Forza Motorsport 5
35,Skylanders SWAP Force
36,NBA 2K14
37,Yokai Watch
38,Mario & Luigi: Dream Team
39,Battlefield 4
40,Need for Speed Rivals
41,BioShock Infinite
42,Mario Party: Island Tour
43,Diablo III
44,Tomb Raider (2013)
45,Donkey Kong Country Returns
46,Batman: Arkham Origins
47,Madden NFL 25
48,LEGO Marvel Super Heroes
49,The Legend of Zelda: The Wind Waker
50,Wii Party U
51,Kingdom Hearts
52,Knack
53,BioShock Infinite
54,StarCraft II: Heart of the Swarm
55,Saints Row IV
56,Beyond: Two Souls
57,LEGO Marvel Super Heroes
58,Disney Infinity
59,Dead Rising 3
60,Gears of War: Judgment
61,Puzzle & Dragons
62,LEGO City Undercover
63,Dragon Quest VII: Warriors of Eden
64,NBA 2K14
65,Disney Infinity
66,SimCity (2013)
67,Metal Gear Rising: Revengeance
68,Diablo III
69,Injustice: Gods Among Us
70,Ryse: Son of Rome
71,Battlefield 4
72,Skylanders SWAP Force
73,Final Fantasy X / X-2 HD Remaster
74,Need for Speed Rivals
75,Saints Row IV
76,Injustice: Gods Among Us
77,FIFA 14
78,WWE 2K14
79,Pikmin 3
80,WWE 2K14
81,LEGO City Undercover
82,NCAA Football 14
83,Final Fantasy XIV: A Realm Reborn
84,Lightning Returns: Final Fantasy XIII
85,LEGO Marvel Super Heroes
86,Skylanders SWAP Force
87,Just Dance 2014
88,Dead Space 3
89,Rocksmith 2014
90,Tom Clancy's Splinter Cell: Blacklist
91,Disney Infinity
92,Dead Space 3
93,Pro Evolution Soccer 2014
94,Rocksmith 2014
95,Tom Clancy's Splinter Cell: Blacklist
96,Naruto Shippuden: Ultimate Ninja Storm 3
97,Disney Magical World
98,Injustice: Gods Among Us
99,NBA 2K14
100,Crysis 3
101,Madden NFL 25
102,LEGO Marvel Super Heroes
103,Crysis 3
104,Wii Fit U
105,NCAA Football 14
106,Madden NFL 25
107,Killzone: Mercenary
108,Final Fantasy X / X-2 HD Remaster
109,DmC: Devil May Cry
110,Need for Speed Rivals
111,Dead Island: Riptide
112,Mario & Sonic at the Sochi 2014 Olympic Winter Games
113,Aliens: Colonial Marines
114,Professor Layton and the Azran Legacy
115,Resident Evil: Revelations
116,MLB 13: The Show
117,LEGO Marvel Super Heroes
118,Total War: Rome II
119,Call of Duty: Ghosts
120,Need for Speed Rivals
121,Terraria
122,Rayman Legends
123,BioShock Infinite
124,One Piece: Pirate Warriors 2
125,Rocksmith 2014
126,Ratchet & Clank: Into the Nexus
127,Assassin's Creed IV: Black Flag
128,Football Manager 2014
129,The Walking Dead: Survival Instinct
130,Crysis 3
131,Tearaway
132,Aliens: Colonial Marines
133,Dead Island: Riptide
134,Dynasty Warriors 8
135,Disney Infinity
136, Frozen: Olaf's Quest
137,Just Dance 2014
138,Skylanders SWAP Force
139,Shin Megami Tensei IV
140,JoJo's Bizarre Adventure: All Star Battle
141,Rayman Legends
142,Payday 2
143,Defiance
144,Sly Cooper: Thieves in Time
145,NHL 14
146,F1 2013
147,NHL 14
148,Dragon's Crown
149,Tales of Symphonia
150, Frozen: Olaf's Quest
151,LEGO Marvel Super Heroes
152,Soul Sacrifice
153,The Walking Dead: Survival Instinct
154,Naruto Shippuden: Ultimate Ninja Storm 3
155,Sonic Lost World
156,Metal Gear Rising: Revengeance
157,Major League Baseball 2K13
158,Just Dance 2014
159,God Eater 2
160,Deadpool
161,DmC: Devil May Cry
162,Deadpool
163,Payday 2
164,Hometown Story
165,Rayman Legends
166,Batman: Arkham Origins Blackgate
167,Metro: Last Light
168,Attack on Titan: Humanity in Chains
169,Just Dance 2014
170,Terraria
171,FIFA 14
172,Dragon Quest X
173,Metal Gear Solid: The Legacy Collection
174,The Wonderful 101
175,FIFA 14
176,Sonic Lost World
177,Skylanders SWAP Force
178,One Piece: Unlimited World Red
179,Farming Simulator 2013
180,FIFA 14
181,Phoenix Wright: Ace Attorney - Dual Destinies
182,Tales of Hearts
183,LEGO Marvel Super Heroes
184,Just Dance 2014
185,GRID 2
186,Tiger Woods PGA Tour 14
187,Zoo Tycoon (2013)
188,Dragon's Crown
189,Earth Defense Force 2025
190,Tiger Woods PGA Tour 14
191,Sentouchu: Densetsu no Shinobi to Survival Battle!
192,Toukiden: The Age of Demons
193,Metro: Last Light
194,Defiance
195,Call of Duty: Ghosts
196,Company of Heroes 2
197,Angry Birds Star Wars
198,Sniper: Ghost Warrior 2
199,Danganronpa: Trigger Happy Havoc
200,Remember Me
201,Skylanders SWAP Force
202,Batman: Arkham Origins
203,Drakengard 3
204,Batman: Arkham Origins
205,LEGO Legends of Chima: Laval's Journey
206,BlazBlue: Chrono Phantasma
207,F1 2013
208,Disney Infinity
209,Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei
210,Angry Birds Star Wars
211,Dragon Ball Heroes: Ultimate Mission
212,Assassin's Creed IV: Black Flag
213,Hatsune Miku: Project Diva f
214,Angry Birds Star Wars
215,Army of Two: The Devil's Cartel
216,GRID 2
217,Need for Speed: Most Wanted
218,Lightning Returns: Final Fantasy XIII
219,Batman: Arkham Origins Blackgate
220,Gundam Breaker
221,Aikatsu! 2-nin no My Princess
222,Angry Birds Star Wars
223,Inazuma Eleven GO 3: Galaxy
224,Jikkyou Powerful Pro Yakyuu 2013
225,Etrian Odyssey Untold: The Millennium Girl
226,Resident Evil: Revelations
227,Army of Two: The Devil's Cartel
228,Puppeteer
229,Need for Speed Rivals
230,The Bureau: XCOM Declassified
231,Sly Cooper: Thieves in Time
232,Skylanders SWAP Force
233,FIFA 14
234,Zumba Fitness: World Party
235,Star Trek: The Game
236,NBA Live 14
237,God Eater 2
238,Pro Evolution Soccer 2014
239,Dynasty Warriors: Gundam Reborn
240,The Legend of Heroes: Trails of Cold Steel
241,Game & Wario
242,Killer is Dead
243,Sword Art Online: Infinity Moment
244,Zumba Fitness: World Party
245,Hatsune Miku: Project Mirai 2
246,Muramasa: The Demon Blade
247,Angry Birds Star Wars
248,The Bureau: XCOM Declassified
249,Atelier Escha & Logy: Alchemists of the Dusk Sky
250,Star Trek: The Game
251,Disgaea D2: A Brighter Darkness
252,Hitman: HD Trilogy
253,Disney's Planes
254,Defiance
255,Lost Planet 3
256,Sniper: Ghost Warrior 2
257,Disney's Planes
258,The Witch and the Hundred Knight
259,NBA Live 14
260,The Legend of Heroes: Trails of Cold Steel
261,Pro Yaky? Spirits 2013
262,Pro Yaky? Spirits 2013
263,Fighter Within
264,Kamen Rider: Battride War
265,Injustice: Gods Among Us
266,Metro: Last Light
267,FIFA 14
268,Resident Evil: Revelations
269,Taiko no Tatsujin: Wii U Version!
270,Nobunaga no Yabou: Souzou
271,Tom Clancy's Splinter Cell: Blacklist
272,Kuma-Tomo
273,Pro Evolution Soccer 2014
274,Saints Row IV
275,Fairy Fencer F
276,The Smurfs 2
277,Super Robot Taisen UX
278,Valhalla Knights 3
279,Daigasso! Band Brothers P
280,Aliens: Colonial Marines
281,Remember Me
282,Toukiden: The Age of Demons
283,Hitman: HD Trilogy
284,Yu-Gi-Oh! Zexal World Duel Carnival
285,Jikkyou Powerful Pro Yakyuu 2013
286,Conception II: Children of the Seven Stars
287,LEGO Marvel Super Heroes
288,Demon Gaze
289,Phantasy Star Online 2
290,Pro Evolution Soccer 2014
291,Angry Birds Star Wars
292,Putty Squad
293,Akiba's Trip: Undead & Undressed
294,Dynasty Warriors 8: Xtreme Legends
295,Major League Baseball 2K13
296,Dynasty Warriors 8
297,Tears to Tiara II: Heir of the Overlord
298,Adventure Time: Explore the Dungeon Because I Don't Know!
299,Castlevania: Lords of Shadow - Mirror of Fate
300,Hoppechan: Tsukutte! Asonde! Punipuni Town!!
301,Earth Defense Force 2025
302,Summon Night 5
303,Farming Simulator 2013
304,The Walking Dead: Season One
305,Disney's Planes
306,Hyperdimension Neptunia
307,Injustice: Gods Among Us
308,LEGO Legends of Chima: Laval's Journey
309,Soccer Tsuku: Pro Soccer Club o Tsukurou!
310,Fuse (Insomniac)
311,7th Dragon 2020-II
312,Dynasty Warriors: Gundam Reborn
313,Little Battlers eXperience: Wars
314,One Piece: Pirate Warriors 2
315,Conception II: Children of the Seven Stars
316,Moshi Monsters: Katsuma Unleashed
317,Killer is Dead
318,The Smurfs 2
319,Fate/Extra CCC
320,Uta no * Prince-Sama: All Star
321,Tom Clancy's Splinter Cell: Blacklist
322,Lost Planet 3
323,LEGO Batman 2: DC Super Heroes
324,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe
325,Armored Core: Verdict Day
326,Dynasty Warriors 8: Xtreme Legends
327,Fuse (Insomniac)
328,The Walking Dead: Survival Instinct
329,MLB 13: The Show
330,Akiba's Trip: Undead & Undressed
331,Shining Ark
332,Deus Ex: Human Revolution
333,ArmA III
334,Mind Zero
335,Pro Evolution Soccer 2014
336,Macross 30: Ginga o Tsunagu Utagoe
337,Little Battlers eXperience W
338,Football Manager 2014
339,Digimon Adventure
340,Scribblenauts Unmasked: A DC Comics Adventure
341,Terraria
342,Scribblenauts Unmasked: A DC Comics Adventure
343,Steins;Gate
344,Angry Birds Star Wars
345,Jikkyou Powerful Pro Yakyuu 2013
346,Gundam Breaker
347,Young Justice: Legacy
348,The Smurfs 2
349,PAC-MAN and the Ghostly Adventures
350,Hyperdimension Idol Neptunia PP
351,Dead or Alive 5
352,The Smurfs 2
353,Cardfight!! Vanguard: Ride to Victory
354,Uta no Prince-Sama: Music 2
355,Digimon World Re:Digitize Decode
356,The Amazing Spider-Man (Console Version)
357,Inazuma Eleven 3
358,The Smurfs 2
359,Angry Birds Star Wars
360,Invizimals: The Alliance
361,Kamen Rider: Travelers Senki
362,Pretty Rhythm: My Deco Rainbow Wedding
363,One Piece: Romance Dawn - Bouken no Yoake
364,Pretty Rhythm Rainbow Live: Kira Kira My * Design
365,PAC-MAN and the Ghostly Adventures
366,Sniper: Ghost Warrior 2
367,AKB1/149: Love Election
