,0
0,Pac-Man
1,Dig Dug
2,Mario Bros.
3,Pole Position
4,Moon Patrol
5,Jungle Hunt
6,Joust
7,Enduro
8,Yars' Revenge
9,Galaxian
10,Kangaroo
11,Keystone Kapers
12,X-Man
13,Battlezone
14,Halloween
15,Q*bert
16,The Activision Decathlon
17,Action Force
18,Popeye
19,Chopper Command
20,RealSports Tennis
21,Gauntlet
22,Congo Bongo
23,Bump 'n' Jump
24,Gravitar
25,Alien's Return
26,Bank Heist
27,Frankenstein's Monster
28,Mountain King
29,Polaris
30,Mr. Do!
31,Porky's
32,Assault
33,Death Trap
34,Pressure Cooker
35,Krull
36,Frankensteins Monster
37,Yars Revenge
38,Aliens Return
39,Karate
40,Porkys
41,Bump n Jump
