,0
0,Gran Turismo
1,Final Fantasy VII
2,GoldenEye 007
3,Crash Bandicoot 2: Cortex Strikes Back
4,Tomb Raider II
5,Diddy Kong Racing
6,Frogger
7,Half-Life
8,Star Fox 64
9,Croc: Legend of the Gobbos
10,Tomb Raider III: Adventures of Lara Croft
11,Yoshi's Story
12,Hot Shots Golf
13,Final Fantasy Tactics
14,Riven: The Sequel to Myst
15,Theme Hospital
16,Grand Theft Auto
17,Tomb Raider II
18,TOCA Touring Car Championship
19,Cool Boarders 2
20,Derby Stallion
21,Tenchu: Stealth Assassins
22,Jet Moto 2
23,Turok 2: Seeds of Evil
24,WCW vs. nWo: World Tour
25,NFL GameDay 98
26,Time Crisis
27,Tiger Woods 99 PGA Tour Golf
28,Knockout Kings
29,NBA Live 98
30,Monopoly
31,Wario Land II
32,Game de Hakken!! Tamagotchi 2
33,Madden NFL 98
34,SaGa Frontier
35,Fighting Force
36,Test Drive 5
37,Castlevania: Symphony of the Night
38,Oddworld: Abe's Oddysee
39,Intelligent Qube
40,Game & Watch Gallery 2
41,NBA Live 99
42,Chocobo no Fushigi Dungeon
43,Test Drive 4
44,Nuclear Strike
45,Mission: Impossible
46,Bushido Blade
47,Test Drive: Off Road
48,Puyo Puyo Sun Ketteiban
49,Triple Play 98
50,Densha De Go!
51,NHL 99
52,NFL Quarterback Club 98
53,Tales of Destiny
54,Bomberman 64
55,The Lost World: Jurassic Park
56,Monster Rancher
57,Breath of Fire III
58,Game & Watch Gallery
59,NHL 98
60,Ace Combat 2
61,Need for Speed: V-Rally
62,Madden Football 64
63,Rampage World Tour
64,Mega Man Legends
65,Moto Racer
66,Momotarou Dentetsu 7
67,Battle Stations
68,San Francisco Rush: Extreme Racing
69,Street Fighter EX Plus Alpha
70,FIFA: Road to World Cup 98
71,Blast Corps
72,Jeopardy!
73,NCAA Football 98
74,Moto Racer 2
75,Star Wars: Masters of Teras Kasi
76,Mortal Kombat Mythologies: Sub-Zero
77,Nightmare Creatures
78,Final Fantasy VII International
79,NBA ShootOut '97
80,Duke Nukem: Total Meltdown
81,Puyo Puyo Sun
82,International Superstar Soccer 64
83,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban
84,Extreme-G
85,Diablo
86,FIFA: Road to  World Cup 98
87,NBA Hangtime
88,Super Robot Taisen F
89,Front Mission 2
90,Virtual Pool
91,NHL FaceOff 98
92,RPG Maker
93,FIFA Soccer 64
94,J-League Pro Soccer Club wo Tsukurou! 2
95,Doom 64
96,Automobili Lamborghini
97,Independence Day
98,Duke Nukem 64
99,Mischief Makers
100,NHL FaceOff 99
101,Neon Genesis Evangelion 2nd Impression
102,Colony Wars
103,Grandia
104,X-Men vs. Street Fighter
105,Command & Conquer: Red Alert
106,Armored Core
107,Medarot: Kabuto / Kuwagata Version
108,Pet in TV
109,Mortal Kombat Mythologies: Sub-Zero
110,Top Gear Rally
111,Bloody Roar
112,San Francisco Rush: Extreme Racing
113,Tobal 2
114,Mini-Yonku GB: Let's & Go!!
115,MechWarrior 2: 31st Century Combat
116,Mobile Suit Z-Gundam
117,Kirby's Dream Land 3
118,Big Bass World Championship
119,Tetrisphere
120,Mystical Ninja starring Goemon
121,Formula 1 Championship Edition
122,Marvel Super Heroes
123,Point Blank
124,DX Game of Life 2
125,Bust-A-Move '99
126,ESPN X-Games Pro Boarder
127,Nagano Winter Olympics 98
128,Rally Cross
129,Riven: The Sequel to Myst
130,The Conveni: Ano Machi wo Dokusen Seyo
131,Shin Super Robot Taisen Special Disk
132,WarCraft II: The Dark Saga
133,Einhänder
134,Jikkyou Powerful Pro Yakyuu 4
135,Shin Megami Tensei: Devil Summoner - Soul Hackers
136,Final Fantasy IV
137,Cart World Series
138,Macross Digital Mission VF-X
139,Super Bomberman 5
140,Future Cop L.A.P.D.
141,SD Gundam G Century
142,War Gods
143,VMX Racing
144,Kakyuusei
145,Armored Core: Project Phantasma
146,Dynasty Warriors
147,Dragon Ball GT: Final Bout
148,NBA In The Zone '98
149,Gallop Racer 2: One and Only Road to Victory
150,Tomba!
151,X-Men vs. Street Fighter
152,Tengai Makyou: Daishi no Mokushiroku - The Apocalypse IV
153,Marie no Atelier: Salburg no Renkinjutsushi
154,Wheel of Fortune
155,MRC: Multi-Racing Championship
156,F1 Pole Position 64
157,Wayne Gretzky's 3D Hockey '98
158,Choro Q2
159,Spawn the Eternal
160,K-1 Revenge
161,G-Police
162,Harvest Moon GB
163,Critical Depth
164,Alundra
165,Pocket Fighter
166,Jersey Devil
167,64 de Hakken! Tamagotchi Minna de Tamagotchi World
168,Kirby's Star Stacker
169,Pro Yakyuu Greatest Nine '97
170,Lunar: Silver Star Story Complete
171,EVE: burst error
172,ClayFighter 63 1/3
173,Angel Blade: Neo Tokyo Guardians
174,MDK
175,Magical Tetris Challenge
176,J-League Jikkyou Winning Eleven 3
177,Mace: The Dark Age
178,Puyo Puyo Sun 64
179,AeroFighters Assault
180,Princess Maker: Yumemiru Yosei
181,Treasures of the Deep
182,Dead or Alive
183,Klonoa: Door to Phantomile
184,Moon
185,Resident Evil Director's Cut: Dual Shock Edition
186,Resident Evil
187,Itoi Shigesato no Bass Tsuri No. 1
188,Jikkyou Powerful Pro Yakyuu 3 '97 Haru
189,Power Stakes
190,Courier Crisis
191,Kidou Senkan Nadesico
192,All Japan Pro Wrestling featuring Virtua
193,Kowloon's Gate
194,Dark Rift
195,Space Station Silicon Valley
196,Mobile Suit Gundam Side Story III: Sabakareshi Mono
197,Mobile Suit Gundam: Perfect One Year War
198,Turbo Prop Racing
199,Fox Sports Golf '99
200,Thunder Truck Rally
201,Front Mission Alternative
202,Xevious 3D/G+
203,Bravo Air Race
204,Gundam: The Battle Master
205,The Granstream Saga
206,NCAA Basketball Final Four 97
207,The Bombing Islands
208,Desire
209,Interactive Sampler Disc 6
210,Azure Dreams
211,Shining Force III
212,Nagano Winter Olympics '98
213,The House of the Dead
