,0
0,Grand Theft Auto V
1,Pokemon Omega Ruby/Pokemon Alpha Sapphire
2,Call of Duty: Advanced Warfare
3,Super Smash Bros. for Wii U and 3DS
4,Mario Kart 8
5,FIFA 15
6,Destiny
7,Grand Theft Auto V
8,Call of Duty: Advanced Warfare
9,Minecraft
10,Super Smash Bros. for Wii U and 3DS
11,The Last of Us
12,Call of Duty: Advanced Warfare
13,Minecraft
14,Call of Duty: Advanced Warfare
15,FIFA 15
16,Watch Dogs
17,Far Cry 4
18,Assassin's Creed: Unity
19,Monster Hunter 4 Ultimate
20,Assassin's Creed: Unity
21,Destiny
22,Yokai Watch 2 Ganso/Honke
23,Halo: The Master Chief Collection
24,The Sims 4
25,Middle-Earth: Shadow of Mordor
26,Titanfall
27,FIFA 15
28,inFAMOUS: Second Son
29,Minecraft
30,Yokai Watch 2 Shinuchi
31,NBA 2K15
32,Madden NFL 15
33,FIFA 15
34,DriveClub
35,Madden NFL 15
36,Just Dance 2015
37,Dragon Age: Inquisition
38,Minecraft
39,Destiny
40,LittleBigPlanet 3
41,Kirby: Triple Deluxe
42,Diablo III
43,The Evil Within
44,Watch Dogs
45,The Crew
46,NBA 2K15
47,Far Cry 4
48,NBA 2K15
49,Destiny
50,Watch Dogs
51,Madden NFL 15
52,Wolfenstein: The New Order
53,Donkey Kong Country: Tropical Freeze
54,Madden NFL 15
55,Tomb Raider (2013)
56,Forza Horizon 2
57,Yoshi's New Island
58,Titanfall
59,Middle-Earth: Shadow of Mordor
60,NBA 2K15
61,Far Cry 4
62,Assassin's Creed: Rogue
63,The LEGO Movie Videogame
64,Dark Souls II
65,Metal Gear Solid V: Ground Zeroes
66,Watch Dogs
67,Kingdom Hearts II
68,Hyrule Warriors
69,Farming Simulator 2015
70,Captain Toad: Treasure Tracker
71,WWE 2K15
72,Sunset Overdrive
73,Alien: Isolation
74,Disney Infinity 2.0: Marvel Super Heroes
75,Plants vs. Zombies: Garden Warfare
76,EA Sports UFC
77,Assassin's Creed: Rogue
78,Rayman Legends
79,Disney Infinity 2.0: Marvel Super Heroes
80,Skylanders: Trap Team
81,Dragon Age: Inquisition
82,Lego Batman 3: Beyond Gotham
83,The LEGO Movie Videogame
84,South Park: The Stick of Truth
85,South Park: The Stick of Truth
86,Far Cry 4
87,The Elder Scrolls Online
88,Skylanders: Trap Team
89,Lego Batman 3: Beyond Gotham
90,The Evil Within
91,Thief (2014)
92,Dragon Quest Monsters 2
93,Forza Horizon 2
94,WWE 2K15
95,Bayonetta 2
96,Pro Evolution Soccer 2015
97,Final Fantasy XIV: A Realm Reborn
98,Dark Souls II
99,Lego Batman 3: Beyond Gotham
100,Dragon Age: Inquisition
101,Just Dance 2015
102,Persona Q: Shadow of the Labyrinth
103,MLB 14: The Show
104,Borderlands: The Pre-Sequel
105,Skylanders: Trap Team
106,The LEGO Movie Videogame
107,Plants vs. Zombies: Garden Warfare
108,Sniper Elite 3
109,Wolfenstein: The New Order
110,The Evil Within
111,The LEGO Movie Videogame
112,Skylanders: Trap Team
113,Diablo III
114,Metro: Last Light
115,Plants vs. Zombies: Garden Warfare
116,Freedom Wars
117,Disney Infinity 2.0: Marvel Super Heroes
118,Borderlands 2
119,The LEGO Movie Videogame
120,WWE 2K15
121,The Crew
122,LittleBigPlanet 3
123,Far Cry 4
124,Rocksmith 2014
125,Disney Infinity 2.0: Marvel Super Heroes
126,2014 FIFA World Cup Brazil
127,Plants vs. Zombies: Garden Warfare
128,Borderlands: The Pre-Sequel
129,Tomb Raider (2013)
130,Just Dance 2015
131,Kinect Sports Rivals
132,LEGO The Hobbit
133,NHL 15
134,Dragon Age: Inquisition
135,FIFA 15
136,Metal Gear Solid V: Ground Zeroes
137,Pro Evolution Soccer 2015
