,0
0,Call of Duty: Black Ops 3
1,FIFA 16
2,Star Wars Battlefront (2015)
3,Call of Duty: Black Ops 3
4,Fallout 4
5,Uncharted: The Nathan Drake Collection
6,Halo 5: Guardians
7,Splatoon
8,Fallout 4
9,The Witcher 3: Wild Hunt
10,Batman: Arkham Knight
11,NBA 2K16
12,Star Wars Battlefront (2015)
13,Metal Gear Solid V: The Phantom Pain
14,Assassin's Creed Syndicate
15,Monster Hunter X
16,Gears of War: Ultimate Edition
17,FIFA 16
18,Madden NFL 16
19,Super Mario Maker
20,Animal Crossing: Happy Home Designer
21,Mortal Kombat X
22,FIFA 16
23,Bloodborne
24,Need for Speed (2015)
25,Madden NFL 16
26,The Legend of Zelda: Majora's Mask 3D
27,NBA 2K16
28,Yokai Watch Busters
29,Tom Clancy's Rainbow Six: Siege
30,Battlefield: Hardline
31,Dying Light
32,Destiny: The Taken King
33,Just Cause 3
34,Forza Motorsport 6
35,The Elder Scrolls Online
36,The Order: 1886
37,Call of Duty: Black Ops 3
38,Call of Duty: Black Ops 3
39, Fire Emblem Fates
40,Until Dawn
41,Mario Party 10
42,FIFA 16
43,Batman: Arkham Knight
44,Mortal Kombat X
45,Rise of the Tomb Raider
46,Tom Clancy's Rainbow Six: Siege
47,The Witcher 3: Wild Hunt
48,Yoshi's Woolly World
49,Assassin's Creed Syndicate
50,Dying Light
51,Fallout 4
52,The Elder Scrolls Online
53,Pokemon Super Mystery Dungeon
54,WWE 2K16
55,Battlefield: Hardline
56,Destiny: The Taken King
57,Mad Max (2015)
58,Grand Theft Auto V
59,The Legend of Zelda: Tri Force Heroes
60,Dragon Ball: XenoVerse
61,Project CARS
62,Final Fantasy Type-0
63,Madden NFL 16
64,Evolve
65,Just Dance 2016
66,NBA 2K16
67,MLB 15: The Show
68,Just Cause 3
69,LEGO Jurassic World
70,Minecraft: Story Mode
71,Borderlands: The Handsome Collection
72,Monster Strike 3DS
73,LEGO Jurassic World
74,Dragon Quest VIII: Journey of the Cursed King
75,Guitar Hero Live
76,LEGO Jurassic World
77,Xenoblade Chronicles X
78,Pro Evolution Soccer 2016
79,Rare Replay
80,Madden NFL 16
81,Mario & Luigi: Paper Jam
82,Nintendo Presents: New Style Boutique 2 - Fashion Forward
83,Metal Gear Solid V: The Phantom Pain
