,0
0,Need for Speed Underground
1,Mario Kart: Double Dash!!
2,Final Fantasy X-2
3,Super Mario Bros. 3
4,Medal of Honor: Rising Sun
5,The Simpsons: Hit & Run
6,EyeToy Play
7,Tony Hawk's Underground
8,The Lord of the Rings: The Return of the King
9,True Crime: Streets of LA
10,Enter the Matrix
11,Sonic Heroes
12,SOCOM II: U.S. Navy SEALs
13,World Soccer Winning Eleven 7 International
14,Finding Nemo
15,WWE SmackDown! Here Comes the Pain
16,Jak II
17,Ratchet & Clank: Going Commando
18,The Sims
19,Tom Clancy's Splinter Cell
20,Pokémon Colosseum
21,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City
22,The Sims: Bustin' Out
23,Dragon Ball Z: Budokai 2
24,Prince of Persia: The Sands of Time
25,Star Wars: Knights of the Old Republic
26,Mario & Luigi: Superstar Saga
27,Final Fantasy Tactics Advance
28,Dynasty Warriors 4
29,Finding Nemo
30,Mario Party 5
31,SoulCalibur II
32,Donkey Kong Country
33,NBA Live 2004
34,Devil May Cry 2
35,Crash Nitro Kart
36,NBA Street Vol. 2
37,Def Jam Vendetta
38,The Sims: Makin' Magic
39,DDRMAX2: Dance Dance Revolution
40,Midnight Club II
41,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City
42,Star Ocean: Till The End of Time
43,Need for Speed Underground
44,The Sims: Superstar
45,SSX 3
46,PGR: Project Gotham Racing 2
47,NCAA Football 2004
48,SpongeBob SquarePants: Battle for Bikini Bottom
49,Tiger Woods PGA Tour 2004
50,Kirby Air Ride
51,Sonic Heroes
52,Pokemon Pinball: Ruby & Sapphire
53,Tom Clancy's Rainbow Six 3
54,Warcraft III: The Frozen Throne
55,Mario Golf: Toadstool Tour
56,SoulCalibur II
57,Final Fantasy: Crystal Chronicles
58,Disney Princess
59,Midway Arcade Treasures
60,Resident Evil: Outbreak
61,Gran Turismo 4 Prologue
62,True Crime: Streets of LA
63,Crash Bandicoot 2: N-Tranced
64,The Simpsons: Hit & Run
65,Max Payne 2: The Fall of Max Payne
66,The Sims: Bustin' Out
67,Mega Man Battle Network 4: Red Sun / Blue Moon
68,Pirates of the Caribbean: The Curse of the Black Pearl
69,Manhunt
70,Tony Hawk's Underground
71,Sonic Adventure DX: Director's Cut
72,Championship Manager 03/04
73,Lara Croft Tomb Raider: The Angel of Darkness
74,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game
75,SpongeBob SquarePants: Battle for Bikini Bottom
76,"WarioWare, Inc.: Mega MicroGame$"
77,Need for Speed Underground
78,Enter the Matrix
79,The Simpsons: Road Rage
80,Cabela's Dangerous Hunts
81,Medal of Honor: Rising Sun
82,Donkey Konga
83,Tak and the Power of Juju
84,Tenchu: Wrath of Heaven
85,The Lord of the Rings: The Return of the King
86,Counter-Strike
