,0
0,Donkey Kong Country
1,Super Mario Land 3: Wario Land
2,Donkey Kong Land
3,Doom II: Hell on Earth
4,Final Fantasy III
5,Donkey Kong
6,Myst
7,Monopoly
8,Warcraft: Orcs & Humans
9,Star Wars: Dark Forces
10,Sonic & Knuckles
11,Disney's The Lion King
12,Sonic the Hedgehog 3
13,Mortal Kombat 3
14,Super Metroid
15,Disney's The Lion King
16,NBA Jam
17,Mortal Kombat 3
18,Battle Arena Toshinden
19,NBA Jam Tournament Edition
20,Virtua Fighter
21,Super Momotarou Dentetsu III
22,Derby Stallion II
23,Kamaitachi no Yoru
24,Super Bomberman 2
25,EarthBound
26,Ridge Racer
27,Doom
28,Super Bomberman 3
29,Fire Emblem: Monsh? no Nazo
30,Kirby's Dream Course
31,Theme Park
32,Fatal Fury Special
33,Daytona USA
34,Romance of the Three Kingdoms IV: Wall of Fire
35,J-League Soccer: Prime Goal 2
36,Space Invaders
37,NHL FaceOff
38,Wonder Project J: Kikai no Shonen Pino
39,Jikkyou Powerful Pro Yakuu '94
40,Samurai Shodown
41,Super Famista 3
42,ESPN Extreme Games
43,Kileak: The DNA Imperative
44,Super Formation Soccer 94
45,Super Robot Taisen EX
46,Shin Megami Tensei II
47,Zero4 Champ RR
48,Super Fire ProWrestling Special
49,Breath of Fire II
50,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame
51,Super Power League 2
52,Parodius
53,Live A Live
54,Yuu Yuu Hakusho 2: Kakutou no Sho
55,Decathlete
56,Daikaijyuu Monogatari
57,Itadaki Street 2: Neon Sign wa Bara Iro ni
58,International Superstar Soccer
59,SimCity 2000
60,Slam Dunk: Yonkyo Taiketsu!!
61,Thoroughbred Breeder II
62,Virtua Racing
63,Galactic Attack
64,A. IV Evolution: A Ressha de Ikou 4
65,Samurai Shodown II
66,The King of Fighters '95 (CD)
67,Drift King Shutokou Battle '94
68,Samurai Spirits (CD)
69,Wing Arms
70,ThunderStrike 2
71,SD Gundam GX
72,Gokujou Parodius
73,F1 Challenge
74,Saturday Night Slam Masters
75,"Lunar 2: Eternal Blue(sales, but wrong system)"
76,Shining Force CD
77,The King of Fighters '94
78,Slayers
79,Battle Arena Toshinden Remix
80,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen
81,Center Ring Boxing
82,Primal Rage
83,Jikkyou Powerful Pro Yakyuu '95
84,Final Fantasy I & II
85,Jupiter Strike
86,Crime Crackers
87,Clockwork Knight
88,Theme Park
89,King's Field (Japan)
90,Yuu Yuu Hakusho: Makyo Toitsusen
91,Dragon Slayer: The Legend of Heroes
92,Majin Tensei
93,Gale Racer
94,Formula One World Championship: Beyond the Limit
95,Derby Jockey: Kishou e no Michi
96,Kenyuu Densetsu Yaiba
97,Motor Toon Grand Prix (Japan)
98,Discworld
99,Robotica
100,Worldwide Soccer
101,Record of Lodoss War: Eiyuu Sensou
102,Myst
103,Game no Kanzume Vol 2
104,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu
105,Golden Axe: The Duel
106,Game no Kanzume Vol 1
107,World Series Baseball
108,Galaxy Fight
109,J-League Pro Striker 2
110,Castlevania Bloodlines
111,First Queen: Ornic Senki
112,Gaia Saver Hero Saidai no Sakusen
113,Puzzle & Action: Tant-R
114,Kidou Senshi V Gundam
115,The Great Battle Gaiden 2: Matsuri da Wasshoi
116,Bust-A-Move
117,Sugoi Hebereke
118,Pebble Beach Golf Links
119,Mortal Kombat
120,World Class Rugby 2: Kokunai Gekitou Hen '93
121,Drift King Shutokou Battle 94
122,Jikkyou Powerful Pro Yakuu 94
123,Kirbys Dream Course
124,The King of Fighters 95 (CD)
125,Kings Field (Japan)
126,The King of Fighters 94
127,World Class Rugby 2: Kokunai Gekitou Hen 93
128,Jikkyou Powerful Pro Yakyuu 95
