,0
0,Wii Sports
1,New Super Mario Bros.
2,Wii Play
3,Pokemon Diamond/Pokemon Pearl
4,The Legend of Zelda: Twilight Princess
5,Gears of War
6,Final Fantasy XII
7,Cooking Mama
8,Guitar Hero II
9,Grand Theft Auto: Vice City Stories
10,Madden NFL 07
11,Winning Eleven: Pro Evolution Soccer 2007
12,The Elder Scrolls IV: Oblivion
13,Resistance: Fall of Man
14,Daxter
15,FIFA Soccer 07
16,MotorStorm
17,Grand Theft Auto: Liberty City Stories
18,Clubhouse Games
19,English Training: Have Fun Improving Your Skills!
20,Personal Trainer: Cooking
21,WarioWare: Smooth Moves
22,Yoshi's Island DS
23,Call of Duty 3
24,LEGO Star Wars II: The Original Trilogy
25,Hannah Montana
26,Medal of Honor Heroes
27,Pac-Man: Adventures in Time
28,WWE SmackDown vs. RAW 2007
29,Marvel: Ultimate Alliance
30,Need for Speed Carbon: Own the City
31,Super Monkey Ball: Banana Blitz
32,Devil May Cry 3: Dante's Awakening Special Edition
33,Saints Row
34,Pokemon Ranger
35,Tetris DS
36,Dead Rising
37,Final Fantasy III
38,The Sims 2: Pets
39,SOCOM: U.S. Navy SEALs: Combined Assault
40,Tom Clancy's Rainbow Six: Vegas
41,Kirby Squeak Squad
42,Madden NFL 07
43,Dragon Quest Monsters: Joker
44,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS
45,NCAA Football 07
46,World Championship Poker: Featuring Howard Lederer - All In
47,Fight Night Round 3
48,Need for Speed Carbon
49,Viva Pinata
50,Mario Hoops 3 on 3
51,The Legend of Zelda: Twilight Princess
52,Pokemon Battle Revolution
53,Fight Night Round 3
54,Tom Clancy's Ghost Recon Advanced Warfighter
55,Call of Duty 3
56,Buzz! The BIG Quiz
57,Dirge of Cerberus: Final Fantasy VII
58,Bratz: Forever Diamondz
59,Fight Night Round 3
60,SNK vs. Capcom: The Match of the Millennium
61,Sonic Rivals
62,Rayman Raving Rabbids
63,LEGO Star Wars II: The Original Trilogy
64,Ridge Racer 7
65,Need for Speed Carbon
66,Lost Planet: Extreme Condition
67,NBA Live 07
68,Need for Speed Carbon
69,Black
70,Need for Speed Carbon
71,Parfait: Chocolat Second Style
72,Cars
73,FIFA Soccer 07
74,Cars
75,Scarface: The World is Yours
76,Mario vs. Donkey Kong 2: March of the Minis
77,Metal Gear Solid: Portable Ops
78,Midnight Club 3: DUB Edition Remix
79,Sonic the Hedgehog
80,Cars
81,SingStar Legends
82,SingStar Rocks!
83,Yakuza 2
84,The Godfather
85,LEGO Star Wars II: The Original Trilogy
86,Call of Duty 3
87,Mortal Kombat: Armageddon
88,SOCOM: U.S. Navy SEALs Fireteam Bravo 2
89,Dance Dance Revolution SuperNOVA
90,Sonic the Hedgehog
91,Madden NFL 07
92,Oshare Majo Love and Berry: DS Collection
93,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales)
94,Ace Combat X: Skies of Deception
95,Tamagotchi Connection: Corner Shop 2
96,Cars
97,LEGO Star Wars II: The Original Trilogy
98,Gangs of London
99,Mega Man Star Force Dragon / Leo / Pegasus
100,Bully
101,MLB 06: The Show
102,Cars
103,Cars
104,SpongeBob SquarePants: The Yellow Avenger
105,Sonic Riders
106,Blue Dragon
107,Hot Shots Tennis
108,Killzone: Liberation
109,SingStar Anthems
110,Monster 4X4: World Circuit
111,Tony Hawk's Project 8
112,Winning Eleven: Pro Evolution Soccer 2007
113,Lemmings
114,Marvel: Ultimate Alliance
115,Disney's The Little Mermaid: Ariel's Undersea Adventure
116,The Sims 2: Pets
117,Dragon Ball Z: Budokai Tenkaichi 2
118,Tom Clancy's Splinter Cell: Double Agent
119,NBA 2K7
120,Worms: Open Warfare
121,Metroid Prime Hunters
122,Genji: Days of the Blade
123,Rockstar Games presents Table Tennis
124,MVP 06 NCAA Baseball
125,Jump Ultimate Stars
126,Mortal Kombat: Unchained
127,NCAA Football 07
128,Tiger Woods PGA Tour 07
129,MX vs. ATV Unleashed: On the Edge
130,Tourist Trophy: The Real Riding Simulator
131,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS
132,Red Steel
133,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou
134,Blazing Angels: Squadrons of WWII
135,WWE SmackDown vs. RAW 2007
136,Thrillville
137,Onimusha: Dawn of Dreams
138,LEGO Star Wars II: The Original Trilogy
139,Okami
140,Tony Hawk's Project 8
141,Madden NFL 07
142,Formula 1: Championship Edition
143,Samurai Warriors 2
144,Jaws Unleashed
145,NBA 2K7
146,Naruto: Uzumaki Chronicles 2
147,FIFA World Cup Germany 2006
148,Arena Football
149,Harry Potter Collection
150,Tony Hawk's Project 8
151,Dogz
152,NCAA Football 07
153,The Godfather (old US sales)
154,Catz
155,Rapala Tournament Fishing!
156,FIFA Soccer 07
157,Dragon Ball Z: Shin Budokai
158,Over the Hedge
159,Rune Factory: A Fantasy Harvest Moon
160,Excite Truck
161,Phoenix Wright: Ace Attorney - Justice for All
162,Star Fox Command
163,Tales of Destiny
164,Mystery Dungeon: Shiren the Wanderer
165,GT Pro Series
166,Madden NFL 07
167,Tomb Raider: Legend
168,Fight Night Round 3
169,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu
170,The Sims 2: Open for Business
171,NBA Live 07
172,Ace Combat Zero: The Belkan War
173,NHL 07
174,Sonic Riders
175,WWE SmackDown vs. RAW 2007
