,0
0,The Legend of Zelda: A Link to the Past
1,Sonic the Hedgehog
2,SimCity
3,Final Fantasy II
4,Metroid II: Return of Samus
5,Yoshi
6,Super Scope 6
7,Teenage Mutant Ninja Turtles III: The Manhattan Project
8,Super Ghouls 'n Ghosts
9,Super R.C. Pro-Am
10,NES Open Tournament Golf
11,Mega Man 4
12,Final Fantasy Legend III
13,Yoshi
14,Super Castlevania IV
15,The Legend of the Mystical Ninja
16,Bomberman II
17,Super Wagyan Land
18,Super Fire ProWrestling
19,Super Soccer
20,Final Fantasy Adventure
21,Battle Dodge Ball
22,Kidou Senshi Gundam F91: Formula Senki 0122
23,Tetris 2 + Bombliss
24,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan
25,Mega Man: Dr. Wily's Revenge
26,Famista '92
27,Mega Man II
28,Lord of Darkness
29,Romance of the Three Kingdoms II
30,Super R-Type
31,Super Baseball Simulator 1.000
32,GameBoy Wars
33,Battle Commander: Hachibushu Shura no Heihou
34,SimEarth: The Living Planet
35,World League Soccer
36,UN Squadron
37,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki
38,John Madden Football
39,Teenage Mutant Ninja Turtles II: Back from the Sewers
40,Lagoon
41,Famista 92
42,Mega Man: Dr. Wilys Revenge
43,Super Ghouls n Ghosts
