,0
0,FIFA 17
1,Pokemon Sun/Moon
2,Uncharted 4: A Thief's End
3,Call of Duty: Infinite Warfare
4,Battlefield 1
5,Tom Clancy's The Division
6,FIFA 17
7,Call of Duty: Infinite Warfare
8,Far Cry: Primal
9,Battlefield 1
10,Tom Clancy's The Division
11,Overwatch
12,NBA 2K17
13,Mafia III
14,Madden NFL 17
15,No Man's Sky
16,Dark Souls III
17,Ratchet & Clank (2016)
18,Doom (2016)
19,Gears of War 4
20,Yokai Watch 3
21,The Elder Scrolls V: Skyrim
22,Madden NFL 17
23,Naruto Shippuden: Ultimate Ninja Storm 4
24,Watch Dogs 2
25,Forza Horizon 3
26,Overwatch
27,The Legend of Zelda: Twilight Princess HD
28,NBA 2K17
29,Pokken Tournament
30,Rise of the Tomb Raider
31,EA Sports UFC 2
32,Kirby: Planet Robobot
33,Street Fighter V
34,MLB 16: The Show
35,Far Cry: Primal
36,Doom (2016)
37,Titanfall 2
38,The Elder Scrolls V: Skyrim
39,FIFA 17
40,LEGO Marvel's Avengers
41,Dragon Ball: Xenoverse 2
42,Lego Star Wars: The Force Awakens
43,Minecraft
44,Farming Simulator 17
45,Dishonored 2
46,Dragon Quest Monsters Joker 3
47,Mafia III
48,WWE 2K17
49,Titanfall 2
50,Yokai Sangokushi
51,Quantum Break
52,Overwatch
53,Mario & Sonic at the Rio 2016 Olympic Games
54,Plants vs. Zombies: Garden Warfare 2
55,Plants vs. Zombies: Garden Warfare 2
56,Pro Evolution Soccer 2017
57,Hyrule Warriors
58,Paper Mario: Color Splash
59,EA Sports UFC 2
60,Farming Simulator 17
61,Tom Clancy's The Division
62,Dragon Quest Builders: Revive Alefgard
63,Life is Strange
64,Dark Souls III
65,Until Dawn: Rush of Blood
66,F1 2016 (Codemasters)
67,Battlefield 1
68,Deus Ex: Mankind Divided
69,FIFA 17
70,Resident Evil Zero
71,Persona 5
72,BioShock The Collection
73,Rocket League
74,DiRT Rally
75,Star Fox: Zero
76,Watch Dogs 2
77,Homefront: The Revolution
78,One Piece: Burning Blood
79,LEGO Marvel's Avengers
80,Mirror's Edge Catalyst
81,TrackMania Turbo
82,Mario & Sonic at the Rio 2016 Olympic Games
83,World of Final Fantasy
84,NHL 17
85,Star Ocean 5: Integrity and Faithlessness
86,World of Warcraft: Legion
87,LEGO Marvel's Avengers
88,Mario Party: Star Rush
89,Naruto Shippuden: Ultimate Ninja Storm 4
90,Batman: Arkham VR
91,Dragon Quest Builders: Revive Alefgard
92,Lego Star Wars: The Force Awakens
93,UEFA Euro 2016
94,Dragon Quest Heroes II: Twin Kings and the Prophecy's End
95,Monster Hunter Stories
96,Attack on Titan (KOEI)
97,Ace Attorney 6
98,LEGO Marvel's Avengers
99,Batman: Return to Arkham
100,WWE 2K17
101,Battleborn
102,PlayStation VR Worlds
103,Sid Meier's Civilization VI
104,NHL 17
105,Destiny: The Collection
106,Rocket League
107,LEGO Marvel's Avengers
108,Dragon Quest Heroes II: Twin Kings and the Prophecy's End
109,XCOM 2
110,Tales of Berseria
111,Puzzle & Dragons X: God Chapter / Dragon Chapter
112,Dishonored 2
113,Doom (2016)
114,Dragon Ball: Fusions
115,World of Final Fantasy
116,Mega Man Legacy Collection
117,Assassin's Creed The Ezio Collection
118,Valkyria Chronicles
119,Story of Seasons: Good Friends of the Three Villages
120,The Heavy Rain and Beyond: Two Souls Collection
121,Dragon Ball: Xenoverse 2
122,Odin Sphere: Leifthrasir
123,MLB 16: The Show
124,Shin Megami Tensei IV: Final
125,Kan Colle Kai
126,LEGO Marvel's Avengers
127,Mafia III
128,Sword Art Online: Hollow Realization
129,Just Dance 2017
130,Jikkyou Powerful Pro Baseball 2016
131,Skylanders Imaginators
132,Madden NFL 17
133,Jikkyou Powerful Pro Baseball 2016
134,Deus Ex: Mankind Divided
135,Far Cry: Primal
136,Mirror's Edge Catalyst
137,Lego Star Wars: The Force Awakens
138,Yakuza Kiwami
139,BioShock The Collection
140,Battleborn
141,The King of Fighters XIV
142,Sword Art Online: Hollow Realization
143,LEGO Harry Potter Collection
144,Lego Star Wars: The Force Awakens
145,ReCore
146,Skylanders Imaginators
147,XCOM 2
148,WWE 2K17
149,Odin Sphere: Leifthrasir
150,Homefront: The Revolution
151,7 Days to Die
152,Dead Island Definitive Collection
153,Call of Duty: Infinite Warfare
154,Attack on Titan (KOEI)
155,Dragon Quest Heroes II: Twin Kings and the Prophecy's End
156,Life is Strange
157,Total War: WARHAMMER
158,Pro Evolution Soccer 2017
159,NBA 2K17
160,LEGO Marvel's Avengers
161,DiRT Rally
162,F1 2016 (Codemasters)
163,Etrian Odyssey V
164,Lego Star Wars: The Force Awakens
165,Gundam Breaker 3
166,Robinson: The Journey
167,Rise of the Tomb Raider
168,Hatsune Miku: Project Diva X
169,Destiny: The Collection
170,Lego Star Wars: The Force Awakens
171,Farming Simulator 17
172,Dishonored 2
173,Dragon Quest Builders: Revive Alefgard
174,Yakuza Kiwami
175,NBA 2K17
176,Tales of Berseria
177,Jikkyou Powerful Pro Baseball 2016
178,FIFA 17
179,Madden NFL 17
180,Disney Art Academy
181,Persona 5
182,Toukiden 2
183,Digimon Story: Cyber Sleuth
184,Batman: Return to Arkham
185,RIGS: Mechanized Combat League
